"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Mᴬᴿ Tᴿᴱᴾᴼᴰᴵ","314927874",18000000,18000000,0,0
"Dai Ren Jinn","679424677",18000000,18000000,0,0
"Fraser","754528616",17923000,17100000,-823000,-4.6
"Forfs","172375865",17100000,17100000,0,0
"soolo","211443325",17100000,16200000,-900000,-5.3
"CookieCrispp","664316463",17100000,18000000,900000,5.3
"Kolin","895636154",17100000,17100000,0,0
"Lux Aeterna","666342982",17078500,14850000,-2228500,-13
"ÐΛЯТHŁФЯÐ","546454824",16200000,16200000,0,0
"QuiGonJin","658131841",16200000,0,-16200000,-100
"MINI Gewases Gait","781658169",16200000,16200000,0,0
"Morgoth","955838368",16200000,13500000,-2700000,-16.7
"Kyle Katarn OG","124126581",15300000,13500000,-1800000,-11.8
"Charles","561322277",15300000,11400000,-3900000,-25.5
"Iɳʋιƚαԃσ","887886159",15300000,13050000,-2250000,-14.7
"mountjl","144546612",14700000,14700000,0,0
"Remo","617343877",14700000,12650000,-2050000,-13.9
"Baker","781273553",14400000,14400000,0,0
"Eilleye","889953137",13200000,13050000,-150000,-1.1
"Amen","277226677",13152000,12600000,-552000,-4.2
"R3D IX","412684243",13130500,12967500,-163000,-1.2
"MINI Binho","447521174",13124500,12600000,-524500,-4
"Mitth'raw'nuruodo","368945983",12600000,13500000,900000,7.1
"Jaybee Ω","517227322",12236500,11340000,-896500,-7.3
"Sir3","169971229",12000000,11100000,-900000,-7.5
"Klesk","548477854",11620500,11497500,-123000,-1.1
"Mol Endinarius","546266818",11400000,11100000,-300000,-2.6
"Danarius","269662845",10800000,9397500,-1402500,-13
"MΔWSΔssin","534823566",10778500,9000000,-1778500,-16.5
"uzun4o","385111398",10500000,9960000,-540000,-5.1
"Noodlehead Jones","918418274",10500000,9862500,-637500,-6.1
"PowerZ","341753365",9885500,7560000,-2325500,-23.5
"Luna Lovegood","168712897",9884500,7942500,-1942000,-19.6
"Darțh Ragnarok","848963679",9835500,8850000,-985500,-10
"καρζζ","293117171",9600000,5867500,-3732500,-38.9
"Seydaneen","498183781",9600000,8032500,-1567500,-16.3
"tenorman","389543546",8065000,5602500,-2462500,-30.5
"TK6445","575217765",7970000,6341250,-1628750,-20.4
"Leesus de Mol","194491658",7947000,6600000,-1347000,-16.9
"Force Ghost A","247175762",7747500,2250000,-5497500,-71
"Creative HD","368777242",7669000,6370000,-1299000,-16.9
"Set Harth","815276889",7153500,5130000,-2023500,-28.3
"Sirdavidsonj","956947937",7109500,6300000,-809500,-11.4
"slepy","144564766",6277500,5997500,-280000,-4.5
"pikappa","479536574",6228500,6780000,551500,8.9
"Wladmir","475635164",6119500,5422500,-697000,-11.4
"Snikers","711328158",5927500,5700000,-227500,-3.8
"onk","927418855",5772000,5400000,-372000,-6.4
"DarthCiiid'r","364518768",4664500,3300000,-1364500,-29.3
